index,score_scale,score_binary,full_text
33,0.5,"[[3, -1]]","RT @KennedyAlencar: Tá aí a estratégia. Bolsonaro ataca credibilidade da Comissão da Verdade, chamando suas conclusões de balela. Mente sob…"
34,0.5,"[[4, -2]]","RT @demori: Matéria do Fantástico sobre o hacker preso: nenhuma palavra sobre Moro, sobre destruição de provas, sobre palestra secreta de D…"
35,0.5,"[[3, -1]]","RT @ManuelaDavila: A máquina de fakenews está a todo vapor. A verdade é que 
1) estou fora do Brasil desde 23/6. Adquiri passagens em 14/2…"
36,0.5,"[[3, -1]]","RT @Haddad_Fernando: Temer: 'O governo Bolsonaro vai bem porque está dando sequência ao meu'. Verdade, mas bem pra quem? https://t.co/ELMwo…"
37,0.5,"[[3, -1]]","RT @gleisi: O aeroporto de Vitória da Conquista (BA) foi construído por Lula e Dilma, em parceria c/ governos Jaques Wagner e Rui Costa. A…"
38,0.5,"[[3, -1]]","Temer: 'O governo Bolsonaro vai bem porque está dando sequência ao meu'. Verdade, mas bem pra quem? https://t.co/ELMwofxKaz"
39,0.5,"[[3, -1]]","Minha total solidariedade aos governadores do Nordeste, chamados de paraíbas pelo Bolsonaro em tom de deboche. Vocês são os melhores e orgulham a Nação pelo trabalho e respeito ao povo. Viva a Paraíba, viva o Nordeste!"
40,0.5,"[[4, -2]]","Meus sinceros sentimentos pela perda, presidenta Dilma."
41,0.5,"[[3, -1]]",RT @andretrig: Enquanto representantes de TODAS as religiões (especialmente as denominações cristãs radicalizadas e ensandecidas que inspir…
42,0.5,"[[4, -2]]","RT @demori: O maior argumento de Moro &amp; Cia é que as decisões foram referendadas em tribunais superiores, como o TRF4 de Gebran. Agora, em…"
43,0.5,"[[3, -1]]","Quem negocia a verdade não pode ser juiz nem ministro da Justiça.
Obs: pelo jeito, o Papa recebeu a Veja em primeira mão."
44,0.5,"[[3, -1]]",Papa defende que juízes sejam isentos e como Jesus não negociem a verdade. https://t.co/fjZR78W5qj
