Counter	Created_time	Time_Stamp	ID	Message	Shares	Status_type	Full_Picture	Reactions_like	Reactions_haha	Reactions_wow	Reactions_sad	Reactions_angry	Reactions_love
45	2018-08-22T06:32:14+0000	1534930334.0	211857482296579_1970923006306032	"- Agenda do candidato.
- Jornal Nacional/ 21 de agosto."	5926	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37589467_1970925352972464_6238138894462746624_n.jpg?_nc_cat=106&_nc_ohc=CO2YKv0YZTgAX_rQFPg&_nc_ht=scontent.xx&oh=e7b4f80e6ff1a41bb2c58b97edb4cbd0&oe=5EA69E4A	30816	68	226	32	10	2176
46	2018-08-23T21:20:52+0000	1535070052.0	211857482296579_668122143570888	"‪- Uma imagem bacana vale mais que mil matérias distorcidas e falaciosas. 
- Um abraço carinhoso nas mulheres de todo o Brasil! Muito obrigado pelo apoio!‬"	35831	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38760805_668122536904182_1825015012335288320_n.jpg?_nc_cat=110&_nc_ohc=dICOyHU_w7EAX8XKoiu&_nc_ht=scontent.xx&oh=84bd51e9f632a7f6fe64dcacff90c0ca&oe=5EA7B0C2	40777	722	163	15	39	4658
47	2018-08-23T20:00:24+0000	1535065224.0	211857482296579_2117553505165949	Conheci de perto um pouco da educação da Coreia do Sul e Japão,  referências na área. O sucesso do modelo passa pela priorização dos  investimentos na educação básica, capacitando os professores e resgatando o respeito ao docente e a disciplina. É o que queremos para o Brasil!	4872	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38017642_2117553918499241_4195526214548455424_n.jpg?_nc_cat=105&_nc_ohc=EOhJ1vwZ6QkAX_L-DVF&_nc_ht=scontent.xx&oh=eafb2acd35b8d81c9ada95d4861864bf&oe=5EA1F43E	19205	34	106	1	6	1362
48	2018-08-23T15:19:55+0000	1535048395.0	211857482296579_251102242401984	- (23/08/2018) Obrigado Araçatuba / SP. 👍🏻	13954	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38808974_251104322401776_6772659295415697408_n.jpg?_nc_cat=103&_nc_ohc=cO3qWHSnDx4AX95vnOR&_nc_ht=scontent.xx&oh=bcbfae656e6938441d4c99d3b136614a&oe=5E91AE76	24979	84	666	2	16	2443
49	2018-08-23T08:37:00+0000	1535024220.0	211857482296579_287159782077645	- A luta de classes e destruição dos valores não é apenas absurdo, mas uma estratégia muito bem articulada de controle da sociedade.	6526	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37813967_287160492077574_6718244628165820416_n.jpg?_nc_cat=109&_nc_ohc=44fCD8vjtoEAX-d830G&_nc_ht=scontent.xx&oh=92018bd4c1eba725b8866f1d718a2b7f&oe=5E9C9B90	20014	37	142	11	8	970
50	2018-08-24T20:38:10+0000	1535153890.0	211857482296579_2062184894002258	"- ""Aquele que esquece seu passado está condenado a não ter futuro.""
- Nessa quinta conheci minha cidade natal, Glicério/SP."	3180	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38102970_2062185974002150_5356410262104571904_n.jpg?_nc_cat=100&_nc_ohc=7EEvMgriDR0AX_URD7N&_nc_ht=scontent.xx&oh=f791f1db869b4910fe20f182ea1a8a98&oe=5E8F70FB	18841	32	158	0	9	1379
51	2018-08-24T13:25:23+0000	1535127923.0	211857482296579_311375639635294	"- José Bonifácio/SP.
- Um aquecimento para amanhã em Barretos/SP.
- Jair Bolsonaro."	5102	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38969791_311376459635212_4678362306206236672_n.jpg?_nc_cat=100&_nc_ohc=B9SBYpirQ-gAX_Us42C&_nc_ht=scontent.xx&oh=9c32553a368c818b505ddc32d1611eae&oe=5E972D4B	19482	386	105	1	10	1497
52	2018-08-24T12:53:14+0000	1535125994.0	211857482296579_385839145283333	EDUCAÇÃO DE BASE:	3434	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38500571_385839711949943_2794656076144836608_n.jpg?_nc_cat=100&_nc_ohc=PrfPK3wxIeUAX812oEr&_nc_ht=scontent.xx&oh=60ae9a61171145eeb7c76f0e7590875c&oe=5E9EA853	17687	33	122	1	11	1497
53	2018-08-25T15:40:23+0000	1535222423.0	211857482296579_317667975468144	"- Armas não geram violência...
- ... e flores não trazem a paz.
- Crianças de hoje, homens e mulheres de amanhã."	6957	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38286665_317668138801461_4686217960304410624_n.jpg?_nc_cat=100&_nc_ohc=Gk_aVA9VNnYAX-Pr9wH&_nc_ht=scontent.xx&oh=6d27e5285e482da12803c2747f2b5619&oe=5EAA908F	17922	40	139	12	16	2019
54	2018-08-25T09:07:23+0000	1535198843.0	211857482296579_448680325620859	"‪SAÚDE: 

- A sensação de falta de recursos é gerada principalmente pela corrupção, que passa por indicações meramente políticas para setores profissionais e qualificação da mão de obra (“esta última, infelizmente não exigida como deveria, por exemplo, no Programa Mais Médicos”):

. Com Eduardo Bolsonaro"	3445	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37614651_448680672287491_9207608467496370176_n.jpg?_nc_cat=104&_nc_ohc=UzejW8qUp0YAX9PHVcw&_nc_ht=scontent.xx&oh=253cd30ea5003ceb0ad996c5e8292bda&oe=5E9F6DD0	14325	21	70	2	8	937
55	2018-08-26T03:07:40+0000	1535263660.0	211857482296579_2222332421380518	"- Valeu Barretos - SP 👍🏻👉🏻👉🏻
- Com Eduardo Bolsonaro"	10253	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38915910_2222333278047099_5143994897769955328_n.jpg?_nc_cat=100&_nc_ohc=Q42euF62CcgAX9TBgAi&_nc_ht=scontent.xx&oh=3e73a1561cc621490748a208d57b3cdd&oe=5E8E9A07	31435	242	522	10	31	2821
56	2018-08-27T23:42:15+0000	1535424135.0	211857482296579_534240133697802	"- Vamos desbancar o sistema que nos afunda!
- Ainda há tempo!
- Um forte abraço e boa noite!"	16687	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37975756_534240787031070_3110047030907502592_n.jpg?_nc_cat=111&_nc_ohc=jAWK9ozxZp4AX_1h2O6&_nc_ht=scontent.xx&oh=5ece7d4dc4f9071c0710cd81b483e3e5&oe=5E9AAC39	26431	66	317	42	22	2855
57	2018-08-27T13:14:27+0000	1535386467.0	211857482296579_519204618532039	"- Editorial do Jornalista Marcílio Maran da cidade de Sete Lagoas -Minas Gerais. Dia 25 de agosto de 2018.

- Se possível, ouça e tire suas conclusões: https://youtu.be/5-JwXbWm1KA

. Via Carlos Bolsonaro"	5714	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38016450_519205121865322_3544583629751451648_n.jpg?_nc_cat=111&_nc_ohc=kJIBl341mPoAX8pCxz7&_nc_ht=scontent.xx&oh=a6435d6cfa6950f4f77185a70ba52c7c&oe=5E8E584F	11974	20	170	27	15	669
58	2018-08-28T20:03:27+0000	1535497407.0	211857482296579_2131071940545169	"- Porto Alegre/29 de agosto/quarta- feira.
- Pouso às 10h no aeroporto Salgado Filho.
- Muito obrigado pelo apoio e consideração."	8616	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38966951_2131072320545131_3303559337934323712_n.jpg?_nc_cat=102&_nc_ohc=m67KeNzaXBEAX-gVqCt&_nc_ht=scontent.xx&oh=0219a864695ea3e8f33dc35ad5eb6cbe&oe=5ED9081B	33970	102	164	6	67	2366
59	2018-08-28T17:20:15+0000	1535487615.0	211857482296579_1884681801826941	- Dois Gigantes do Varejo - Havan e Gazin, juntos com Jair Bolsonaro (17).	28907	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37810296_1884681998493588_5645438784913801216_n.jpg?_nc_cat=105&_nc_ohc=zrLjIMI3zs8AX8XlVP8&_nc_ht=scontent.xx&oh=3a34505bedcff1f44643dd3073462d0b&oe=5E91F866	41884	144	425	6	44	3047
60	2018-08-28T12:44:05+0000	1535471045.0	211857482296579_2145080495751712	Continuação Bolsonaro no CEASA 4	996	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/s526x296/37927521_2145080799085015_5278339408909565952_n.jpg?_nc_cat=106&_nc_ohc=PXgoSQ15n1AAX9Z6K45&_nc_ht=scontent.xx&_nc_tp=1002&oh=57296938d3dacca45b6b08b666ce8ecc&oe=5E91B705	13437	49	63	2	15	1065
61	2018-08-28T12:26:08+0000	1535469968.0	211857482296579_232248050798168	Continuação Bolsonaro no CEASA 3	4503	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/s526x296/37846442_232249717464668_5635399814255476736_n.jpg?_nc_cat=101&_nc_ohc=uwtqpXNQF5MAX-W_SNw&_nc_ht=scontent.xx&_nc_tp=1002&oh=c17b9268ead1532636c6dd8604701fd3&oe=5E9A41F8	17563	108	70	6	40	2460
62	2018-08-28T12:14:32+0000	1535469272.0	211857482296579_1953397118016766	Continuação Bolsonaro no Ceasa 2	4709	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/s526x296/38103417_1953405664682578_4980486089811689472_n.jpg?_nc_cat=109&_nc_ohc=2uqNrdUxwc8AX9-aMjs&_nc_ht=scontent.xx&_nc_tp=1002&oh=2cfb84d43d3c7caae09efe503ab2b07a&oe=5ED51CE6	21121	108	63	9	40	2692
63	2018-08-28T12:06:15+0000	1535468775.0	211857482296579_254420832078676	Bolsonaro no CEASA 1	2690	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/p296x100/38686734_254428965411196_2430533129656598528_n.jpg?_nc_cat=104&_nc_ohc=L5_6ixI4vpAAX-lerqd&_nc_ht=scontent.xx&_nc_tp=1002&oh=6a05092d3b6dd7fb69ce34207056ff26&oe=5ED61021	14292	93	54	5	32	2632
64	2018-08-29T23:16:54+0000	1535595414.0	211857482296579_479151242596625	Rio Grande do Sul!	23274	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38088456_479156175929465_2261666882572517376_n.jpg?_nc_cat=102&_nc_ohc=iycTtcH5e5AAX_9QH5j&_nc_ht=scontent.xx&oh=84805dcaab600dfefaeaf13d48b2bb48&oe=5E9B1F6A	57572	603	420	68	303	13377
65	2018-08-29T12:57:49+0000	1535558269.0	211857482296579_728819064123707	- Chegada agora no aeroporto Salgado Filho em Porto Alegre - RS.	45832	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/p296x100/38944908_728823864123227_1112630313323855872_n.jpg?_nc_cat=108&_nc_ohc=bf6ctpyW6D0AX_aIWFQ&_nc_ht=scontent.xx&_nc_tp=1002&oh=370e0de088a4e7340b5fd848f220bd3d&oe=5E965E66	85579	1161	760	61	501	19382
66	2018-08-29T09:29:41+0000	1535545781.0	211857482296579_270191333591724	- A violência no Brasil já passou da linha do absurdo há muito tempo e quanto mais recuamos, mais a bandidagem avança. Quando adotamos o espírito de cordeiro na esperança de misericórdia, o criminoso na realidade entende que pode tudo e que é o senhor da sua vida. Isso vai acabar!	19593	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38047141_270191716925019_99350384627154944_n.jpg?_nc_cat=103&_nc_ohc=1lhv9KHR7hEAX-T7Tb7&_nc_ht=scontent.xx&oh=c8ea83a57de1376eaee299c168495e54&oe=5EA966BE	59354	861	161	15	58	6072
67	2018-08-30T14:40:59+0000	1535650859.0	211857482296579_228297974509051	"- a inversão de valores e o politicamente correto implementados propositalmente provocam o caos social justificando ações exclusivas do “estado-mãe”.

- O socialismo nos sufoca por todos os lados, com o único intuito de moldar pessoas como cordeirinhos, física e psicologicamente, para que sejamos dominados sem resistência."	12886	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38495601_228299657842216_8676755358728847360_n.jpg?_nc_cat=108&_nc_ohc=DHwpPEVpBUwAX-h2Oku&_nc_ht=scontent.xx&oh=33dcc03a2e7484db4f70591905250059&oe=5E96C38E	20595	100	84	113	599	1259
68	2018-08-30T12:01:18+0000	1535641278.0	211857482296579_903442709866212	"- Jornal O Globo de hoje, 30/08/2018,  diz que informação sobre livro de sexo para crianças nas escolas é FALSA.

- Veja como fazem para, mais uma vez, tentar desqualificar quem não lhes interessa! Segue a VERDADE!

. Link do vídeo no youtube: https://youtu.be/ge2x9C4WEfM"	57299	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38765067_903443643199452_1833163527368474624_n.jpg?_nc_cat=106&_nc_ohc=NW7MaVmgeI0AX8fcRTv&_nc_ht=scontent.xx&oh=c8f2f68fce4bc16b18c8b08097ac9d33&oe=5E918159	58228	234	376	373	2839	2041
69	2018-08-30T08:31:19+0000	1535628679.0	211857482296579_2151863195135266	"EDUCAÇÃO: 

- Muitos da imprensa mentem, manipulam, cospem na sua cara e te chamam de idiota, mas a verdade aparece. Trechos de um dos filmes pagos com MILHÕES DE SEU DINHEIRO, estes elaborados por grupos de ATIVISTA$ LGBT, que seriam passados nas ESCOLAS e foi barrado pelo trabalho de parlamentares no Congresso Nacional, principalmente componentes da bancada evangélica.

- Infelizmente esta prioridade ainda continua sendo aplicada pelo MEC, devido a isso, seguida por muitos estados e municípios, com o único objetivo de formar militantes políticos e não mais cidadãos preparados para o mercado de trabalho. 

- Estas diretrizes têm que acabar.

. Link no youtube: https://youtu.be/SJsGN69NGug"	2770	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38951710_2151863775135208_8988271205018501120_n.jpg?_nc_cat=104&_nc_ohc=qEJmV29zA5EAX8F_4GN&_nc_ht=scontent.xx&oh=2a78b25677377c271db5e86561ee2bff&oe=5ED54546	13493	68	86	130	1704	254
70	2018-08-31T18:22:36+0000	1535750556.0	211857482296579_671829229862929	"- Chegada no Aeroporto de Porto Velho - Rondônia.

. Link no youtube: https://youtu.be/RZbk9Qs9xsM"	33746	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38790157_671834603195725_6644694679021420544_n.jpg?_nc_cat=101&_nc_ohc=zSdFRIuyGXkAX9p-Wag&_nc_ht=scontent.xx&oh=632ede3ff3c9f313a5c5635ae526c273&oe=5E8DA354	60022	514	1130	47	259	14520
71	2018-08-31T11:13:19+0000	1535724799.0	211857482296579_676723089360200	"- Aeroporto Salgado Filho. 
- Porto Alegre, 29/agosto.
- Obrigado Rio Grande do Sul."	20689	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38802371_676723352693507_5789398057086877696_n.jpg?_nc_cat=111&_nc_ohc=3bJMLQejvyUAX_Vofwd&_nc_ht=scontent.xx&oh=17e236cf11ea814b6f47c39c2434b5ac&oe=5E948650	22776	68	879	4	18	2192
72	2018-08-31T10:02:53+0000	1535720573.0	211857482296579_497399267332270	"- Obrigado pela consideração mulheres gaúchas! 👍🏻

- Logo a caminho de Rondônia, às 14h pousaremos no aeroporto de Porto Velho!"	8096	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38952411_497399440665586_4253299365835177984_n.jpg?_nc_cat=105&_nc_ohc=gsvzX8FuWicAX8p7FyD&_nc_ht=scontent.xx&oh=16e85276356fe7c74db62ba6c4104a69&oe=5E992D89	25745	85	246	9	15	2597
73	2018-09-01T22:49:50+0000	1535852990.0	211857482296579_2053595561347024	"- Em Rio Branco/AC, ao lado de índios, um pronunciamento de união de todos brasileiros.

. Vídeo em nosso canal no youtube: https://youtu.be/GItC9PcVeKA"	5807	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38088589_2053601084679805_8385210234192265216_n.jpg?_nc_cat=106&_nc_ohc=iqkX8dKmWyMAX8LPfGx&_nc_ht=scontent.xx&oh=1d6675fac55cb07193e1eb1c4b48677c&oe=5ED93B63	23677	78	175	6	20	1926
74	2018-09-01T19:07:55+0000	1535839675.0	211857482296579_337520606990975	"- 01 de setembro de 2018 - Chegada no Aeroporto de Rio Branco / Acre.
- Muito obrigado a todos pela consideração!
- Vamos juntos resgatar o Brasil!
- Um forte abraço a todos!

. YOUTUBE: https://youtu.be/PFgkS0Dl2iU"	7238	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38952487_337521010324268_1165058528134561792_n.jpg?_nc_cat=109&_nc_ohc=fJbOJFifBBAAX_mtsdw&_nc_ht=scontent.xx&oh=a8a1ca0b449c594a3c4086ae73c6eddc&oe=5E9651C4	22005	45	329	3	13	2076
75	2018-09-01T12:10:41+0000	1535814641.0	211857482296579_1015053668695757	"- Entrevista onde tratamos de assuntos referentes aos fatos da semana!
- Se possível, assista:
. Link no youtube: https://youtu.be/bijfU-mHYN8"	10344	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38926198_1015054872028970_388426482789122048_n.jpg?_nc_cat=111&_nc_ohc=rPOiG0uvNV0AX_XQZkr&_nc_ht=scontent.xx&oh=466fe5e174a7281c3389952f05e1d965&oe=5E910B94	26010	170	85	3	26	1831
76	2018-09-01T02:51:09+0000	1535781069.0	211857482296579_2135117230148766	"- Sábado, 01/setembro ás  12hs, pousaremos em Rio Branco/AC.
- Agradeço a presença de todos."	2869	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38973630_2135117466815409_3040847505676828672_n.jpg?_nc_cat=108&_nc_ohc=tKV8Olyv5l0AX8x7LP0&_nc_ht=scontent.xx&oh=6c9845be96d28791f149193ee1d7251b&oe=5E8DC0E2	21184	55	106	2	16	1410
77	2018-09-03T23:31:49+0000	1536028309.0	211857482296579_236294227053313	"- O PSDB quer tutelar as mulheres.
- Maria do Rosário e Alkmin acham que um menor estuprador, de 16 ou 17 anos, é um pobre coitado que não pode ser responsabilizado, como adulto, pelos seus atos.

. Nosso canal no youtube: https://youtu.be/z0-IcV6-CZw"	22560	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38953377_236294600386609_6844310542597750784_n.jpg?_nc_cat=101&_nc_ohc=AFWE5dL8HmEAX-cAKz9&_nc_ht=scontent.xx&oh=c427f563d20365b14c4fc6c576200981&oe=5E9FA8E6	29701	125	114	37	538	2528
78	2018-09-03T20:20:24+0000	1536016824.0	211857482296579_742666649405306	- Não é de hoje que falo: não podemos continuar com essa política que busca apoio através de distribuição de cargos, ministérios e diretorias. Esse é um dos principais focos de corrupção e ineficiência do Estado. 👍🏻	19174	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38743044_742667529405218_2571261426781913088_n.jpg?_nc_cat=110&_nc_ohc=IwbhkaJKGQUAX9AABkW&_nc_ht=scontent.xx&oh=ec49300d62930e2e81f5e97cc2a68141&oe=5EA23FE1	30873	69	302	4	12	2018
79	2018-09-03T08:14:18+0000	1535973258.0	211857482296579_1850661045013730	"- Relembrando, um bate papo bacana com a jornalista Leda Nagle: 

. Link no youtube: https://youtu.be/BS-jERxveRM"	8901	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38852721_1850670218346146_7004633897866625024_n.jpg?_nc_cat=105&_nc_ohc=R7Uqe9lQe1sAX-5mTWi&_nc_ht=scontent.xx&oh=19f36a8fe4ae8744bc809db54d2d3fdc&oe=5E97D0FA	32286	56	163	7	28	2213
80	2018-09-04T23:22:43+0000	1536114163.0	211857482296579_670569609992657	"- Grato pela reflexão e confiança, Andre Valadao! Um forte abraço!

. Link no youtube: https://youtu.be/92V0wKqdrLE"	19242	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38960490_670570489992569_1485328574335418368_n.jpg?_nc_cat=105&_nc_ohc=E84yILhh83QAX89BRgh&_nc_ht=scontent.xx&oh=4a03293cfda84fb76fa87361c8b1e046&oe=5EA54329	33044	58	272	11	35	3932
81	2018-09-04T09:01:07+0000	1536062467.0	211857482296579_1950294451706634	- Chega de enfeites, palavras bonitas e eufemismos! Ou pegamos pesado na questão da segurança, ou não tem economia que funcione nem país que prospere.	10046	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38800026_1950295201706559_4082377641892511744_n.jpg?_nc_cat=108&_nc_ohc=rheGJSHJb2oAX8BRwmx&_nc_ht=scontent.xx&oh=1642646b835478cbbda3e9a4beb0b985&oe=5ED21B5F	34994	54	207	5	9	2429
82	2018-09-05T22:13:30+0000	1536196410.0	211857482296579_517035062075400	- General Heleno expõe sua experiência de campo no Roda Viva.	9252	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38952505_517035815408658_2159141580810747904_n.jpg?_nc_cat=100&_nc_ohc=MEViuKAyzv4AX8oYGTP&_nc_ht=scontent.xx&oh=a1f374f37040f7bcd5e66950d52846e4&oe=5E993AAD	29850	28	268	2	15	1807
83	2018-09-05T18:58:42+0000	1536184722.0	211857482296579_664955710554762	- Mais verdades sobre a possibilidade de fraudes nas urnas eletrônicas.	5889	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38671933_664957313887935_6332632349682958336_n.jpg?_nc_cat=107&_nc_ohc=9vMTF9Ey6uwAX_5EL3T&_nc_ht=scontent.xx&oh=1c49bb1193dd9d388f3a1e7a4c2c89f6&oe=5E9795E6	26767	371	118	22	49	1636
84	2018-09-05T15:24:40+0000	1536171880.0	211857482296579_549801618812016	- Distrito Federal (Parte 3)	7497	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38953001_549801692145342_3731574737608900608_n.jpg?_nc_cat=102&_nc_ohc=gvGLOoQ89WgAX-32KHe&_nc_ht=scontent.xx&oh=64c141dbf320743407fbcb0e72bb13a3&oe=5EA38B97	37021	371	177	21	104	7867
85	2018-09-05T13:03:43+0000	1536163423.0	211857482296579_252776078596678	- Distrito Federal (Parte 2)	19382	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38971273_252783255262627_280614888034795520_n.jpg?_nc_cat=109&_nc_ohc=8aNuJGBPRxAAX_TDFyB&_nc_ht=scontent.xx&oh=34a5f36771f83014bff9b13d244eff6c&oe=5EA9DC78	48338	256	497	18	135	9972
86	2018-09-05T12:51:04+0000	1536162664.0	211857482296579_260176718157562	- Distrito Federal (Parte 1)	14098	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38853414_260187431489824_3686325118251827200_n.jpg?_nc_cat=102&_nc_ohc=uyHsEJteKrEAX95JRiY&_nc_ht=scontent.xx&oh=9e8dc72e7a741336c8ebd1ec3facfe73&oe=5E8D329F	40148	377	305	27	120	8649
87	2018-09-06T11:35:49+0000	1536244549.0	211857482296579_237292110467336	- Caso possível, peço sua colaboração.	13599	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38952631_237292363800644_3445568540336193536_n.jpg?_nc_cat=109&_nc_ohc=pLfORSEZkIkAX-_a56V&_nc_ht=scontent.xx&oh=c48fc7738e65c06d7da21d755b2bf5ff&oe=5EA21E78	49215	131	220	18	51	5013
88	2018-09-09T13:52:35+0000	1536511955.0	211857482296579_165182034349193	"- Difícil não se encantar e não se emocionar. Muito obrigado pela homenagem, Débora Maciel!
- Logo estaremos 100%"	26752	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38951801_165182471015816_4101977978550878208_n.jpg?_nc_cat=107&_nc_ohc=Ii8ltZ4AlF8AX_HIIf_&_nc_ht=scontent.xx&oh=01270098f6a6f52c9b71cca9b4ed5b51&oe=5EA32EA9	53685	111	959	155	20	14445
89	2018-09-10T17:30:01+0000	1536611401.0	211857482296579_1906423086329989	"‪- Agradeço a cada cidadão, pai, mãe, filho e filha, pelos atos de solidariedade realizados nos últimos dias. Este apoio é nosso combustível. 
-Tenho me comunicado menos por conta da recuperação, sendo auxiliado por um de meus filhos. Muito obrigado a todos! 
-Nós vamos mudar o Brasil!‬"	38413	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38944792_1906423782996586_5287652070533365760_n.jpg?_nc_cat=102&_nc_ohc=EASmF7AVTpQAX8Aawd-&_nc_ht=scontent.xx&oh=a662de8263ef960dc025abf65e8c7afe&oe=5E9ABBFE	68227	105	697	14	24	11060
90	2018-09-11T09:50:08+0000	1536670208.0	211857482296579_583362432066391	- Nada apagará a chama da esperança que presenciamos nos olhos de cada um presente neste grande dia! Obrigado Juiz de Fora! Obrigado Minas Gerais!	15654	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38951878_583362875399680_2005379367907098624_n.jpg?_nc_cat=106&_nc_ohc=AytOcazOpLEAX-0eH3Y&_nc_ht=scontent.xx&oh=8f080b6ff426500491fbab0500405db2&oe=5ED28EB0	44150	85	929	37	17	6269
91	2018-09-12T22:27:22+0000	1536802042.0	211857482296579_463658817454334	"- Meu filho, Eduardo Bolsonaro, reuniu as informações e entregou esta bacana homenagem!
- Vamos sair dessa!
- Muito Obrigado a todos!"	35114	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38982409_463659464120936_1998335084670746624_n.jpg?_nc_cat=103&_nc_ohc=31b_agAEGMoAX-2JeM8&_nc_ht=scontent.xx&oh=0e1b96fb9922b26ae5f1e98fb0c440c2&oe=5E90BAA5	73534	148	604	22	31	11247
92	2018-09-12T00:00:12+0000	1536721212.0	211857482296579_2174223122866093	- Muito obrigado pelas valiosas palavras, Professor Olavo de Carvalho ! Que Deus continue abençoando seu brilhante trabalho que desperta a paixão pela cultura no coração de tantos brasileiros. Um forte abraço!	20686	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38952991_2174223402866065_7914846903655727104_n.jpg?_nc_cat=105&_nc_ohc=qjpc-K0hfNcAX_ijs9D&_nc_ht=scontent.xx&oh=93e41b7ae3cfef1411d15aeaa5ebe587&oe=5ED7CD86	53886	68	478	6	20	7409
93	2018-09-14T20:26:13+0000	1536967573.0	211857482296579_427785287625544	"- Vamos mudar o Brasil!

. Inscreva-se em nosso canal do youtube: https://youtu.be/uvtWDB_aznA"	16773	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38980370_427786007625472_4382443985839325184_n.jpg?_nc_cat=110&_nc_ohc=1pSq_hh2MzMAX-upxu8&_nc_ht=scontent.xx&oh=71aa850fe3e75289a719729397308161&oe=5E9AB6BE	44845	68	246	1	24	4688
94	2018-09-15T03:19:11+0000	1536992351.0	211857482296579_313128469242757	A rejeição só aumenta a cada dia!	34561	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38959474_313128619242742_821224895483478016_n.jpg?_nc_cat=102&_nc_ohc=i_yhG_MPex8AX97RjOj&_nc_ht=scontent.xx&oh=ef29006be043a9bd412facaa62f651cc&oe=5E9B8C5E	59083	1115	1280	9	26	9363
95	2018-09-17T17:38:50+0000	1537216730.0	211857482296579_309715023153373	"- Seguimos firmes na recuperação e em breve na ativa completa!

. No youtube: https://youtu.be/a6WgjW7go3M"	4460	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38961383_309715633153312_6842542588029829120_n.jpg?_nc_cat=106&_nc_ohc=u81OlA8fGwgAX-vFF5a&_nc_ht=scontent.xx&oh=0e238028cee355d2a93a0d53b693ef6b&oe=5ED946E7	49180	84	239	19	12	5488
96	2018-09-17T02:18:58+0000	1537161538.0	211857482296579_242130903165177	"- Agradeço aos movimentos espontâneos espalhados por todo o Brasil neste final de semana por minha recuperação. Tenham certeza que isso nos dá forças para cumprir nossa missão! Vamos mudar o Brasil! Muito obrigado a todos! 👍🏻

. No youtube: https://youtu.be/BxO378zcjwY"	15984	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38971030_242131336498467_5114558304319700992_n.jpg?_nc_cat=101&_nc_ohc=rVlRMbRyH9YAX_V30L_&_nc_ht=scontent.xx&oh=ad68522cc2e0ec585198e7ce336b2845&oe=5E9BF17C	56278	101	703	9	23	7253
