Counter	Created_time	Time_Stamp	ID	Message	Shares	Status_type	Full_Picture	Reactions_like	Reactions_haha	Reactions_wow	Reactions_sad	Reactions_angry	Reactions_love
13	2018-08-06T23:18:26+0000	1533608306.0	211857482296579_1148181795330805	"- A extremamente talentosa Lua Azevedo toca o Hino Nacional.

- Muito obrigado pela consideração e sucesso com este dom que Deus lhe deu."	14542	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37174952_1148184318663886_1164505044289060864_n.jpg?_nc_cat=109&_nc_ohc=NnMAJKUXNvEAX-ezcjz&_nc_ht=scontent.xx&oh=4d560db21f1faa5550b0f0f0d9e265c1&oe=5E98E713	29218	50	635	5	7	2978
14	2018-08-06T08:37:51+0000	1533555471.0	211857482296579_1147454782070173	"- ""E conhecereis a verdade. E a verdade vos libertará."""	7659	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/36083127_1147455065403478_840135718092144640_n.jpg?_nc_cat=100&_nc_ohc=sei_ETBXVksAX-3NYEN&_nc_ht=scontent.xx&oh=1854a855938a2a338fcf436b059e6d97&oe=5ED84838	21118	536	88	4	8	1336
15	2018-08-07T21:51:10+0000	1533689470.0	211857482296579_1149312665217718	"- Mais uma mentira da Folha de São Paulo.
- Na manchete da matéria induzem que o aborto compete à mulher.
- M E N T I R A

. Link no youtube: https://youtu.be/bPcGySCec8w"	15634	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/35998374_1149313505217634_8207422433796292608_n.jpg?_nc_cat=109&_nc_ohc=PqnPcNycxboAX8Paqkg&_nc_ht=scontent.xx&oh=89be8b7ad057f04ef892c0c8f8ea3709&oe=5ED6E8DA	34656	97	106	60	690	1498
16	2018-08-09T19:13:00+0000	1533852780.0	211857482296579_1151591451656506	É sempre muito bacana! Obrigado! 🌷👍🏻	3665	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37707022_1151592441656407_4487603408223600640_n.jpg?_nc_cat=103&_nc_ohc=shXpn9X4a5wAX-Lw3NC&_nc_ht=scontent.xx&oh=20a272f346902ba49f40386210639212&oe=5E8E061E	19410	85	165	3	8	2067
17	2018-08-09T12:37:03+0000	1533829023.0	211857482296579_1151205861695065	- Luciano Huck e as escolas militares.	77400	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37611794_1151206271695024_386790774559211520_n.jpg?_nc_cat=102&_nc_ohc=6ZcVJk9k2_cAX_pK4A-&_nc_ht=scontent.xx&oh=dabbb8366e1532d77a43990a55cba8d9&oe=5EDA3563	53889	1373	243	7	34	2753
18	2018-08-09T10:53:02+0000	1533822782.0	211857482296579_1151120645036920	"CENSURA NAS REDES SOCIAIS:
Após facebook agora é a vez do twitter passar a foice na direita e não só no Brasil! Contas internacionais como a do Infowars LIVE, de Alex Jones, também foram bloqueadas.

 SOCIAL NETWORKS CENSORSHIP
After facebook now it's twitter's turn to pass the sickle on the rightwings and not only in Brazil! International accounts such as Infowars, of Alex Jones, also got blocked.

Eduardo Bolsonaro"	3266	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37779845_1151121321703519_2750933931841814528_n.jpg?_nc_cat=105&_nc_ohc=05WFmmTEObwAX_clc3Y&_nc_ht=scontent.xx&oh=796a9a4e3b6e8fc8a9f9e66423d6b8f4&oe=5ED348F6	12098	37	81	411	1242	106
19	2018-08-09T00:33:30+0000	1533785610.0	211857482296579_1150686015080383	- Vamos acreditar no Brasil.	7964	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37979004_1150686895080295_1197995047484653568_n.jpg?_nc_cat=106&_nc_ohc=el9ER8zE5f4AX89JkR0&_nc_ht=scontent.xx&oh=3abdfc2d62398d8c93c1cc1bca0e3a58&oe=5E9B09DE	15121	28	93	3	10	1342
20	2018-08-10T22:15:32+0000	1533950132.0	211857482296579_1153090981506553	- Apoiadores de todo Brasil: nosso muito obrigado.	13864	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37743752_1153091764839808_7860184068900519936_n.jpg?_nc_cat=104&_nc_ohc=j4KfX-SVg4gAX9QcL-6&_nc_ht=scontent.xx&oh=c64326d11a4ecde3b0ccf856a12487b2&oe=5E9DB275	39047	251	487	5	23	3276
21	2018-08-10T16:12:32+0000	1533928352.0	211857482296579_1152719978210320	Cada manifestação de carinho o aumento da responsabilidade! 👍🏻🇧🇷🌷	6994	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38947614_1152721648210153_2198745573031411712_n.jpg?_nc_cat=111&_nc_ohc=mTRJLQZxZAwAX-rvHxG&_nc_ht=scontent.xx&oh=9b641ab55ec5d99cd547de6aa0dfb5e7&oe=5EA47C99	26952	94	220	3	30	2573
22	2018-08-10T04:19:52+0000	1533885592.0	211857482296579_1152099524939032	- Grato pelos que assistiram ao debate até este horário. Vamos colocar o Brasil nos trilhos sem estar refém de partidos e do sistema. Boa noite e fiquem com Deus! 🇧🇷 #BolsonaroNaBand	20535	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38740953_1152101074938877_5755421249413054464_n.jpg?_nc_cat=100&_nc_ohc=TgZKjd6TsOsAX_C43KT&_nc_ht=scontent.xx&oh=70a3dc8c3390413140e37534dfb3ca73&oe=5EDC0B19	76895	406	367	10	90	8721
